Product_link,Storage,Network,Price,Name
https://www.gsmarena.com/vivo_x60_pro_plus-review-2256.php," 128GB 8GB RAM, 256GB 12GB RAM; UFS 3.1.",GSM / CDMA / HSPA / LTE / 5G,,vivo X60 Pro+
https://www.gsmarena.com/xiaomi_mi_11_lite-review-2255.php," 64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM; UFS 2.2; microSDXC (uses shared SIM slot).",GSM / HSPA / LTE,$ 299.00 / £ 294.64 / € 299.00,Xiaomi Mi 11 Lite
https://www.gsmarena.com/vivo_x60_pro-review-2252.php, 256GB 12GB RAM; UFS 3.1.,GSM / HSPA / LTE / 5G,"₹ 49,990 / $ 695.00",vivo X60 Pro
https://www.gsmarena.com/motorola_moto_g10_power_handson-review-2254.php, 64GB 4GB RAM; microSDXC (uses shared SIM slot).,GSM / HSPA / LTE,,Motorola Moto G10 Power
https://www.gsmarena.com/xiaomi_mi_11_lite_5g-review-2253.php," 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM; UFS 2.2; microSDXC (uses shared SIM slot).",GSM / CDMA / HSPA / EVDO / LTE / 5G,,Xiaomi Mi 11 Lite 5G
https://www.gsmarena.com/zte_nubia_red_magic_6-review-2250.php," 128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM; UFS 3.1.",GSM / CDMA / HSPA / EVDO / LTE / 5G,$ 544.99 / £ 799.00,ZTE nubia Red Magic 6
https://www.gsmarena.com/oneplus_9r_hands_on-review-2251.php," 128GB 8GB RAM, 256GB 12GB RAM; UFS 3.1.",GSM / HSPA / LTE / 5G,"₹ 39,999 / $ 629.00",OnePlus 9R
https://www.gsmarena.com/huawei_mate_x2-review-2249.php," 256GB 8GB RAM, 512GB 8GB RAM; UFS 3.X; NM (Nano Memory), up to 256GB (uses shared SIM slot).",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei Mate X2
https://www.gsmarena.com/poco_f3-review-2248.php," 128GB 6GB RAM, 256GB 8GB RAM; UFS 3.1.",GSM / HSPA / LTE / 5G,$ 399.00 / £ 329.00 / € 345.00,Xiaomi Poco F3
https://www.gsmarena.com/#,,,,
